locus_tag	ftype	length_bp	gene	EC_number	COG	product
NCJPFIPA_00033	CDS	327	yhjQ		COG1145	putative cysteine-rich protein YhjQ
NCJPFIPA_00034	gene	77				
NCJPFIPA_00034	tRNA	77				tRNA-Arg(tct)
NCJPFIPA_00035	gene	651	zinT			
NCJPFIPA_00035	CDS	651	zinT		COG3443	Metal-binding protein ZinT
NCJPFIPA_00036	gene	789	ant1			
NCJPFIPA_00036	CDS	789	ant1	2.7.7.47		Streptomycin 3''-adenylyltransferase
NCJPFIPA_00037	gene	594				
NCJPFIPA_00037	CDS	594				hypothetical protein
NCJPFIPA_00038	gene	849	bluR			
NCJPFIPA_00038	CDS	849	bluR		COG0789	HTH-type transcriptional repressor BluR
NCJPFIPA_00039	gene	249				
NCJPFIPA_00039	CDS	249				hypothetical protein
NCJPFIPA_00040	gene	546	aroQ			
NCJPFIPA_00040	CDS	546	aroQ	5.4.99.5	COG1605	Monofunctional chorismate mutase
NCJPFIPA_00041	gene	639	leuE			
NCJPFIPA_00041	CDS	639	leuE		COG1280	Leucine efflux protein
NCJPFIPA_00042	gene	363	yeaR_1			
NCJPFIPA_00042	CDS	363	yeaR_1		COG3615	putative protein YeaR
NCJPFIPA_00043	gene	183	yoaG			
NCJPFIPA_00043	CDS	183	yoaG			Protein YoaG
NCJPFIPA_00044	gene	642				
NCJPFIPA_00044	CDS	642				hypothetical protein
NCJPFIPA_00045	gene	249				
NCJPFIPA_00045	CDS	249				hypothetical protein
NCJPFIPA_00046	gene	252				
NCJPFIPA_00046	CDS	252				hypothetical protein
NCJPFIPA_00047	gene	312				
NCJPFIPA_00047	CDS	312				hypothetical protein
NCJPFIPA_00048	gene	348				
NCJPFIPA_00048	CDS	348				hypothetical protein
NCJPFIPA_00049	gene	1185	nimT			
NCJPFIPA_00049	CDS	1185	nimT		COG2807	2-nitroimidazole transporter
NCJPFIPA_00050	gene	795	nimR			
NCJPFIPA_00050	CDS	795	nimR			HTH-type transcriptional regulator NimR
NCJPFIPA_00051	gene	447				
NCJPFIPA_00051	CDS	447				hypothetical protein
NCJPFIPA_00052	gene	108				
NCJPFIPA_00052	CDS	108				hypothetical protein
NCJPFIPA_00053	gene	528				
NCJPFIPA_00053	CDS	528				hypothetical protein
NCJPFIPA_00054	gene	1494	dgcJ			
NCJPFIPA_00054	CDS	1494	dgcJ	2.7.7.65	COG2199	putative diguanylate cyclase DgcJ
NCJPFIPA_00055	gene	1287				
NCJPFIPA_00055	CDS	1287				hypothetical protein
NCJPFIPA_00056	gene	1557				
NCJPFIPA_00056	CDS	1557				hypothetical protein
NCJPFIPA_00057	gene	363				
NCJPFIPA_00057	CDS	363				hypothetical protein
NCJPFIPA_00058	gene	747	mipA			
NCJPFIPA_00058	CDS	747	mipA		COG3713	MltA-interacting protein
NCJPFIPA_00059	gene	1197	chuR_1			
NCJPFIPA_00059	CDS	1197	chuR_1	1.1.99.-	COG0641	Anaerobic sulfatase-maturating enzyme
NCJPFIPA_00060	gene	849				
NCJPFIPA_00060	CDS	849		1.-.-.-	COG0667	putative oxidoreductase
NCJPFIPA_00061	gene	885	yeaD			
NCJPFIPA_00061	CDS	885	yeaD	5.1.3.15	COG0676	Putative glucose-6-phosphate 1-epimerase
NCJPFIPA_00062	gene	996	gapA			
NCJPFIPA_00062	CDS	996	gapA	1.2.1.12	COG0057	Glyceraldehyde-3-phosphate dehydrogenase A
NCJPFIPA_00063	gene	414	msrB			
NCJPFIPA_00063	CDS	414	msrB	1.8.4.12	COG0229	Peptide methionine sulfoxide reductase MsrB
NCJPFIPA_00064	gene	279				
NCJPFIPA_00064	CDS	279				hypothetical protein
NCJPFIPA_00065	gene	657	pncA			
NCJPFIPA_00065	CDS	657	pncA	3.5.1.19	COG1335	Nicotinamidase
NCJPFIPA_00066	gene	1089	ansA			
NCJPFIPA_00066	CDS	1089	ansA	3.5.1.1	COG0252	L-asparaginase 1
NCJPFIPA_00067	gene	1857	sppA			
NCJPFIPA_00067	CDS	1857	sppA	3.4.21.-	COG0616	Protease 4
NCJPFIPA_00068	gene	552	ydjA			
NCJPFIPA_00068	CDS	552	ydjA	1.-.-.-	COG0778	Putative NAD(P)H nitroreductase YdjA
NCJPFIPA_00069	gene	1044	selD			
NCJPFIPA_00069	CDS	1044	selD	2.7.9.3	COG0709	Selenide, water dikinase
NCJPFIPA_00070	gene	1950	topB			
NCJPFIPA_00070	CDS	1950	topB	5.6.2.1	COG0550	DNA topoisomerase 3
NCJPFIPA_00071	gene	1344	gdhA_1			
NCJPFIPA_00071	CDS	1344	gdhA_1	1.4.1.4	COG0334	NADP-specific glutamate dehydrogenase
NCJPFIPA_00072	gene	276				
NCJPFIPA_00072	CDS	276				hypothetical protein
NCJPFIPA_00073	gene	417	nudG			
NCJPFIPA_00073	CDS	417	nudG	3.6.1.65	COG0494	CTP pyrophosphohydrolase
NCJPFIPA_00074	gene	879	xthA			
NCJPFIPA_00074	CDS	879	xthA	3.1.11.2	COG0708	Exodeoxyribonuclease III
NCJPFIPA_00075	gene	1227	astC			
NCJPFIPA_00075	CDS	1227	astC	2.6.1.81	COG4992	Succinylornithine transaminase
NCJPFIPA_00076	gene	1035	astA			
NCJPFIPA_00076	CDS	1035	astA	2.3.1.109	COG3138	Arginine N-succinyltransferase
NCJPFIPA_00077	gene	1479	astD			
NCJPFIPA_00077	CDS	1479	astD	1.2.1.71	COG1012	N-succinylglutamate 5-semialdehyde dehydrogenase
NCJPFIPA_00078	gene	1344	astB			
NCJPFIPA_00078	CDS	1344	astB	3.5.3.23	COG3724	N-succinylarginine dihydrolase
NCJPFIPA_00079	gene	969	astE			
NCJPFIPA_00079	CDS	969	astE	3.5.1.96	COG2988	Succinylglutamate desuccinylase
NCJPFIPA_00080	gene	216				
NCJPFIPA_00080	CDS	216				hypothetical protein
NCJPFIPA_00081	gene	486	spy			
NCJPFIPA_00081	CDS	486	spy		COG3678	Periplasmic chaperone Spy
NCJPFIPA_00082	gene	882	cho			
NCJPFIPA_00082	CDS	882	cho	3.1.25.-	COG0322	Excinuclease cho
NCJPFIPA_00083	gene	828	nadE			
NCJPFIPA_00083	CDS	828	nadE	6.3.1.5	COG0171	NH(3)-dependent NAD(+) synthetase
NCJPFIPA_00084	gene	342	osmE			
NCJPFIPA_00084	CDS	342	osmE			Osmotically-inducible putative lipoprotein OsmE
NCJPFIPA_00085	gene	321	chbB			
NCJPFIPA_00085	CDS	321	chbB	2.7.1.196	COG1440	PTS system N,N'-diacetylchitobiose-specific EIIB component
NCJPFIPA_00086	gene	1359	chbC			
NCJPFIPA_00086	CDS	1359	chbC		COG1455	PTS system N,N'-diacetylchitobiose-specific EIIC component
NCJPFIPA_00087	gene	348	chbA			
NCJPFIPA_00087	CDS	348	chbA		COG1447	PTS system N,N'-diacetylchitobiose-specific EIIA component
NCJPFIPA_00088	gene	840	chbR			
NCJPFIPA_00088	CDS	840	chbR			HTH-type transcriptional regulator ChbR
NCJPFIPA_00089	gene	1356	chbF			
NCJPFIPA_00089	CDS	1356	chbF	3.2.1.86	COG1486	6-phospho-beta-glucosidase
NCJPFIPA_00090	gene	759	chbG			
NCJPFIPA_00090	CDS	759	chbG	3.5.1.105	COG3394	Chitooligosaccharide deacetylase ChbG
NCJPFIPA_00091	gene	1611	katE_1			
NCJPFIPA_00091	CDS	1611	katE_1	1.11.1.6	COG0753	Catalase HPII
NCJPFIPA_00092	gene	567	katE_2			
NCJPFIPA_00092	CDS	567	katE_2	1.11.1.6	COG0753	Catalase HPII
NCJPFIPA_00093	gene	243	cedA			
NCJPFIPA_00093	CDS	243	cedA			Cell division activator CedA
NCJPFIPA_00094	gene	1392	tcyP_1			
NCJPFIPA_00094	CDS	1392	tcyP_1		COG1823	L-cystine uptake protein TcyP
NCJPFIPA_00095	gene	600	ydjM			
NCJPFIPA_00095	CDS	600	ydjM		COG1988	Inner membrane protein YdjM
NCJPFIPA_00096	gene	669	hxpB			
NCJPFIPA_00096	CDS	669	hxpB	3.1.3.68	COG0637	Hexitol phosphatase B
NCJPFIPA_00097	gene	537				
NCJPFIPA_00097	CDS	537				hypothetical protein
NCJPFIPA_00098	gene	861				
NCJPFIPA_00098	CDS	861		2.7.1.-		putative ketoamine kinase
NCJPFIPA_00099	gene	291				
NCJPFIPA_00099	CDS	291				hypothetical protein
NCJPFIPA_00100	gene	933	pfkB			
NCJPFIPA_00100	CDS	933	pfkB	2.7.1.11	COG1105	ATP-dependent 6-phosphofructokinase isozyme 2
NCJPFIPA_00101	gene	759				
NCJPFIPA_00101	CDS	759				hypothetical protein
NCJPFIPA_00102	gene	960				
NCJPFIPA_00102	CDS	960				hypothetical protein
NCJPFIPA_00103	gene	315				
NCJPFIPA_00103	CDS	315				hypothetical protein
NCJPFIPA_00104	gene	855	nucA			
NCJPFIPA_00104	CDS	855	nucA	3.1.30.2		Nuclease
NCJPFIPA_00105	gene	1224				
NCJPFIPA_00105	CDS	1224				hypothetical protein
NCJPFIPA_00106	gene	129				
NCJPFIPA_00106	CDS	129				hypothetical protein
NCJPFIPA_00107	gene	1929	thrS			
NCJPFIPA_00107	CDS	1929	thrS	6.1.1.3	COG0441	Threonine--tRNA ligase
NCJPFIPA_00108	gene	435	infC			
NCJPFIPA_00108	CDS	435	infC		COG0290	Translation initiation factor IF-3
NCJPFIPA_00109	gene	198	rpmI			
NCJPFIPA_00109	CDS	198	rpmI		COG0291	50S ribosomal protein L35
NCJPFIPA_00110	gene	357	rplT			
NCJPFIPA_00110	CDS	357	rplT		COG0292	50S ribosomal protein L20
NCJPFIPA_00111	gene	984	pheS			
NCJPFIPA_00111	CDS	984	pheS	6.1.1.20	COG0016	Phenylalanine--tRNA ligase alpha subunit
NCJPFIPA_00112	gene	2388	pheT			
NCJPFIPA_00112	CDS	2388	pheT	6.1.1.20	COG0072	Phenylalanine--tRNA ligase beta subunit
NCJPFIPA_00113	gene	300	ihfA			
NCJPFIPA_00113	CDS	300	ihfA		COG0776	Integration host factor subunit alpha
NCJPFIPA_00114	gene	981	btuC			
NCJPFIPA_00114	CDS	981	btuC		COG4139	Vitamin B12 import system permease protein BtuC
NCJPFIPA_00115	gene	552	btuE			
NCJPFIPA_00115	CDS	552	btuE	1.11.1.15	COG0386	Thioredoxin/glutathione peroxidase BtuE
NCJPFIPA_00116	gene	750	btuD_2			
NCJPFIPA_00116	CDS	750	btuD_2	7.6.2.8	COG4138	Vitamin B12 import ATP-binding protein BtuD
NCJPFIPA_00117	gene	465	mepS_1			
NCJPFIPA_00117	CDS	465	mepS_1	3.4.-.-	COG0791	Murein DD-endopeptidase MepS/Murein LD-carboxypeptidase
NCJPFIPA_00118	gene	711	ydiV_1			
NCJPFIPA_00118	CDS	711	ydiV_1		COG2200	Anti-FlhC(2)FlhD(4) factor YdiV
NCJPFIPA_00119	gene	1443	selO			
NCJPFIPA_00119	CDS	1443	selO	2.7.7.-	COG0397	Protein adenylyltransferase SelO
NCJPFIPA_00120	gene	192	ydiE			
NCJPFIPA_00120	CDS	192	ydiE		COG4256	putative protein YdiE
NCJPFIPA_00121	gene	1047	aroH			
NCJPFIPA_00121	CDS	1047	aroH	2.5.1.54	COG0722	Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive
NCJPFIPA_00122	gene	834	ppsR			
NCJPFIPA_00122	CDS	834	ppsR	2.7.11.33	COG1806	Phosphoenolpyruvate synthase regulatory protein
NCJPFIPA_00123	gene	2379	ppsA			
NCJPFIPA_00123	CDS	2379	ppsA	2.7.9.2	COG0574	Phosphoenolpyruvate synthase
NCJPFIPA_00124	gene	1641	fadK			
NCJPFIPA_00124	CDS	1641	fadK	6.2.1.-	COG0318	Medium-chain fatty-acid--CoA ligase
NCJPFIPA_00125	gene	294	fixX_1			
NCJPFIPA_00125	CDS	294	fixX_1		COG2440	Ferredoxin-like protein FixX
NCJPFIPA_00126	gene	1287	dadA_1			
NCJPFIPA_00126	CDS	1287	dadA_1	1.4.99.-		D-amino acid dehydrogenase
NCJPFIPA_00127	gene	936	fixB_1			
NCJPFIPA_00127	CDS	936	fixB_1		COG2025	Protein FixB
NCJPFIPA_00128	gene	765	fixA_1			
NCJPFIPA_00128	CDS	765	fixA_1		COG2086	Protein FixA
NCJPFIPA_00129	gene	891	rhaS_1			
NCJPFIPA_00129	CDS	891	rhaS_1			HTH-type transcriptional activator RhaS
NCJPFIPA_00130	gene	1152	caiA_1			
NCJPFIPA_00130	CDS	1152	caiA_1	1.3.8.13	COG1960	Crotonobetainyl-CoA reductase
NCJPFIPA_00131	gene	1596	ydiF			
NCJPFIPA_00131	CDS	1596	ydiF	2.8.3.8	COG4670	Acetate CoA-transferase YdiF
NCJPFIPA_00132	gene	759	aroD			
NCJPFIPA_00132	CDS	759	aroD	4.2.1.10	COG0710	3-dehydroquinate dehydratase
NCJPFIPA_00133	gene	867	ydiB			
NCJPFIPA_00133	CDS	867	ydiB	1.1.1.282	COG0169	Quinate/shikimate dehydrogenase
NCJPFIPA_00134	gene	1236	ydiN			
NCJPFIPA_00134	CDS	1236	ydiN			Inner membrane transport protein YdiN
NCJPFIPA_00135	gene	1212	ydiM			
NCJPFIPA_00135	CDS	1212	ydiM			Inner membrane transport protein YdiM
NCJPFIPA_00136	gene	360				
NCJPFIPA_00136	CDS	360				hypothetical protein
NCJPFIPA_00137	gene	1119	ydiK			
NCJPFIPA_00137	CDS	1119	ydiK		COG0628	Putative transport protein YdiK
NCJPFIPA_00138	gene	3057				
NCJPFIPA_00138	CDS	3057			COG0247	putative protein
NCJPFIPA_00139	gene	411	menI			
NCJPFIPA_00139	CDS	411	menI	3.1.2.28	COG2050	1,4-dihydroxy-2-naphthoyl-CoA hydrolase
NCJPFIPA_00140	gene	189				
NCJPFIPA_00140	CDS	189				hypothetical protein
NCJPFIPA_00141	gene	1347	tcyP_2			
NCJPFIPA_00141	CDS	1347	tcyP_2		COG1823	L-cystine uptake protein TcyP
NCJPFIPA_00142	gene	369	sufA			
NCJPFIPA_00142	CDS	369	sufA		COG0316	Protein SufA
NCJPFIPA_00143	gene	1488	sufB			
NCJPFIPA_00143	CDS	1488	sufB		COG0719	FeS cluster assembly protein SufB
NCJPFIPA_00144	gene	747	sufC			
NCJPFIPA_00144	CDS	747	sufC		COG0396	putative ATP-dependent transporter SufC
NCJPFIPA_00145	gene	1272	sufD			
NCJPFIPA_00145	CDS	1272	sufD		COG0719	FeS cluster assembly protein SufD
NCJPFIPA_00146	gene	1221	sufS			
NCJPFIPA_00146	CDS	1221	sufS	2.8.1.7	COG0520	Cysteine desulfurase
NCJPFIPA_00147	gene	417	sufE			
NCJPFIPA_00147	CDS	417	sufE		COG2166	Cysteine desulfuration protein SufE
NCJPFIPA_00148	gene	1002	ynhG			
NCJPFIPA_00148	CDS	1002	ynhG	2.-.-.-	COG1376	putative L,D-transpeptidase YnhG
NCJPFIPA_00149	gene	303	lpp			
NCJPFIPA_00149	CDS	303	lpp			Major outer membrane lipoprotein Lpp
NCJPFIPA_00150	gene	237	lpp1			
NCJPFIPA_00150	CDS	237	lpp1			Major outer membrane lipoprotein Lpp 1
NCJPFIPA_00151	gene	1413	pykF			
NCJPFIPA_00151	CDS	1413	pykF	2.7.1.40	COG0469	Pyruvate kinase I
NCJPFIPA_00152	gene	1344	puuP			
NCJPFIPA_00152	CDS	1344	puuP		COG0531	Putrescine importer PuuP
NCJPFIPA_00153	gene	894	laaA			
NCJPFIPA_00153	CDS	894	laaA	3.5.1.101		L-amino acid amidase
NCJPFIPA_00154	gene	738				
NCJPFIPA_00154	CDS	738				hypothetical protein
NCJPFIPA_00155	gene	1227	RBKS_1			
NCJPFIPA_00155	CDS	1227	RBKS_1	2.7.1.15		Ribokinase
NCJPFIPA_00156	gene	3063	ttrA			
NCJPFIPA_00156	CDS	3063	ttrA	1.8.-.-	COG0243	Tetrathionate reductase subunit A
NCJPFIPA_00157	gene	1023	ttrC			
NCJPFIPA_00157	CDS	1023	ttrC			Tetrathionate reductase subunit C
NCJPFIPA_00158	gene	735	ttrB			
NCJPFIPA_00158	CDS	735	ttrB		COG0437	Tetrathionate reductase subunit B
NCJPFIPA_00159	gene	1779	ttrS			
NCJPFIPA_00159	CDS	1779	ttrS	2.7.13.3	COG0642	Tetrathionate sensor histidine kinase TtrS
NCJPFIPA_00160	gene	621	ttrR			
NCJPFIPA_00160	CDS	621	ttrR		COG4566	Tetrathionate response regulatory protein TtrR
NCJPFIPA_00161	gene	213	fumD			
NCJPFIPA_00161	CDS	213	fumD	4.2.1.2		Fumarase D
NCJPFIPA_00162	gene	960				
NCJPFIPA_00162	CDS	960				hypothetical protein
NCJPFIPA_00163	gene	729	mlrA_1			
NCJPFIPA_00163	CDS	729	mlrA_1		COG0789	HTH-type transcriptional regulator MlrA
NCJPFIPA_00164	gene	639	nreC			
NCJPFIPA_00164	CDS	639	nreC		COG2197	Oxygen regulatory protein NreC
NCJPFIPA_00165	gene	2763	rcsC_1			
NCJPFIPA_00165	CDS	2763	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
NCJPFIPA_00166	gene	384	spiC			
NCJPFIPA_00166	CDS	384	spiC			Salmonella pathogenicity island 2 protein C
NCJPFIPA_00167	gene	1494	sctC_1			
NCJPFIPA_00167	CDS	1494	sctC_1			Type 3 secretion system secretin
NCJPFIPA_00168	gene	1212				
NCJPFIPA_00168	CDS	1212				hypothetical protein
NCJPFIPA_00169	gene	243				
NCJPFIPA_00169	CDS	243				hypothetical protein
NCJPFIPA_00170	gene	324	sseA_1			
NCJPFIPA_00170	CDS	324	sseA_1			Type III secretion system chaperone SseA
NCJPFIPA_00171	gene	591	sseB			
NCJPFIPA_00171	CDS	591	sseB			Secreted effector protein SseB
NCJPFIPA_00172	gene	474				
NCJPFIPA_00172	CDS	474				hypothetical protein
NCJPFIPA_00173	gene	1455	sseC			
NCJPFIPA_00173	CDS	1455	sseC		COG5613	Secreted effector protein SseC
NCJPFIPA_00174	gene	588	sseD			
NCJPFIPA_00174	CDS	588	sseD			Secreted effector protein SseD
NCJPFIPA_00175	gene	417				
NCJPFIPA_00175	CDS	417				hypothetical protein
NCJPFIPA_00176	gene	429	ipgC			
NCJPFIPA_00176	CDS	429	ipgC		COG0457	Chaperone protein IpgC
NCJPFIPA_00177	gene	783				
NCJPFIPA_00177	CDS	783				hypothetical protein
NCJPFIPA_00178	gene	690				
NCJPFIPA_00178	CDS	690				hypothetical protein
NCJPFIPA_00179	gene	216				
NCJPFIPA_00179	CDS	216				hypothetical protein
NCJPFIPA_00180	gene	291				
NCJPFIPA_00180	CDS	291				hypothetical protein
NCJPFIPA_00181	gene	264				
NCJPFIPA_00181	CDS	264				hypothetical protein
NCJPFIPA_00182	gene	750	yscJ			
NCJPFIPA_00182	CDS	750	yscJ			Yop proteins translocation lipoprotein J
NCJPFIPA_00183	gene	252				
NCJPFIPA_00183	CDS	252				hypothetical protein
NCJPFIPA_00184	gene	675				
NCJPFIPA_00184	CDS	675				hypothetical protein
NCJPFIPA_00185	gene	993				
NCJPFIPA_00185	CDS	993				hypothetical protein
NCJPFIPA_00186	gene	369				
NCJPFIPA_00186	CDS	369				hypothetical protein
NCJPFIPA_00187	gene	2046	ssaV			
NCJPFIPA_00187	CDS	2046	ssaV		COG4789	Secretion system apparatus protein SsaV
NCJPFIPA_00188	gene	1302	ssaN			
NCJPFIPA_00188	CDS	1302	ssaN	7.1.2.2	COG1157	putative secretion system apparatus ATP synthase SsaN
NCJPFIPA_00189	gene	432				
NCJPFIPA_00189	CDS	432				hypothetical protein
NCJPFIPA_00190	gene	375				
NCJPFIPA_00190	CDS	375				hypothetical protein
NCJPFIPA_00191	gene	969				
NCJPFIPA_00191	CDS	969				hypothetical protein
NCJPFIPA_00192	gene	648	spaP_1			
NCJPFIPA_00192	CDS	648	spaP_1		COG4790	Surface presentation of antigens protein SpaP
NCJPFIPA_00193	gene	267	spaQ_1			
NCJPFIPA_00193	CDS	267	spaQ_1		COG4794	Surface presentation of antigens protein SpaQ
NCJPFIPA_00194	gene	780	spaR_1			
NCJPFIPA_00194	CDS	780	spaR_1		COG4791	Surface presentation of antigens protein SpaR
NCJPFIPA_00195	gene	1059	yscU			
NCJPFIPA_00195	CDS	1059	yscU			Yop proteins translocation protein U
NCJPFIPA_00196	gene	77				
NCJPFIPA_00196	tRNA	77				tRNA-Val(gac)
NCJPFIPA_00197	gene	77				
NCJPFIPA_00197	tRNA	77				tRNA-Val(gac)
NCJPFIPA_00198	gene	1374	mdtK			
NCJPFIPA_00198	CDS	1374	mdtK		COG0534	Multidrug resistance protein MdtK
NCJPFIPA_00199	gene	642	ribC			
NCJPFIPA_00199	CDS	642	ribC	2.5.1.9	COG0307	Riboflavin synthase
NCJPFIPA_00200	gene	1149	cfa			
NCJPFIPA_00200	CDS	1149	cfa	2.1.1.79	COG2230	Cyclopropane-fatty-acyl-phospholipid synthase
NCJPFIPA_00201	gene	1206	ydhC			
NCJPFIPA_00201	CDS	1206	ydhC			Inner membrane transport protein YdhC
NCJPFIPA_00202	gene	933	yahB			
NCJPFIPA_00202	CDS	933	yahB			putative HTH-type transcriptional regulator YahB
NCJPFIPA_00203	gene	1026	purR			
NCJPFIPA_00203	CDS	1026	purR		COG1609	HTH-type transcriptional repressor PurR
NCJPFIPA_00204	gene	90	ynhF			
NCJPFIPA_00204	CDS	90	ynhF			putative protein YnhF
NCJPFIPA_00205	gene	582	sodB			
NCJPFIPA_00205	CDS	582	sodB	1.15.1.1	COG0605	Superoxide dismutase [Fe]
NCJPFIPA_00206	gene	822	mepH			
NCJPFIPA_00206	CDS	822	mepH	3.4.-.-	COG0791	Murein DD-endopeptidase MepH
NCJPFIPA_00207	gene	348	grxD			
NCJPFIPA_00207	CDS	348	grxD		COG0278	Glutaredoxin 4
NCJPFIPA_00208	gene	648	rnt			
NCJPFIPA_00208	CDS	648	rnt	3.1.13.-	COG0847	Ribonuclease T
NCJPFIPA_00209	gene	408	gloA			
NCJPFIPA_00209	CDS	408	gloA	4.4.1.5	COG0346	Lactoylglutathione lyase
NCJPFIPA_00210	gene	1098	nemA			
NCJPFIPA_00210	CDS	1098	nemA	1.3.1.-	COG1902	N-ethylmaleimide reductase
NCJPFIPA_00211	gene	600	nemR			
NCJPFIPA_00211	CDS	600	nemR			HTH-type transcriptional repressor NemR
NCJPFIPA_00212	gene	240				
NCJPFIPA_00212	CDS	240				hypothetical protein
NCJPFIPA_00213	gene	897	ydhF			
NCJPFIPA_00213	CDS	897	ydhF	1.-.-.-	COG4989	Oxidoreductase YdhF
NCJPFIPA_00214	gene	522	sodC			
NCJPFIPA_00214	CDS	522	sodC	1.15.1.1	COG2032	Superoxide dismutase [Cu-Zn]
NCJPFIPA_00215	gene	2037	aaeB_1			
NCJPFIPA_00215	CDS	2037	aaeB_1			p-hydroxybenzoic acid efflux pump subunit AaeB
NCJPFIPA_00216	gene	861	aaeA_1			
NCJPFIPA_00216	CDS	861	aaeA_1		COG1566	p-hydroxybenzoic acid efflux pump subunit AaeA
NCJPFIPA_00217	gene	237				
NCJPFIPA_00217	CDS	237				hypothetical protein
NCJPFIPA_00218	gene	435	slyA_1			
NCJPFIPA_00218	CDS	435	slyA_1		COG1846	Transcriptional regulator SlyA
NCJPFIPA_00219	gene	468	slyB			
NCJPFIPA_00219	CDS	468	slyB		COG3133	Outer membrane lipoprotein SlyB
NCJPFIPA_00220	gene	1122	anmK			
NCJPFIPA_00220	CDS	1122	anmK	2.7.1.170	COG2377	Anhydro-N-acetylmuramic acid kinase
NCJPFIPA_00221	gene	363	mliC			
NCJPFIPA_00221	CDS	363	mliC		COG3895	Membrane-bound lysozyme inhibitor of C-type lysozyme
NCJPFIPA_00222	gene	657	pdxH			
NCJPFIPA_00222	CDS	657	pdxH	1.4.3.5	COG0259	Pyridoxine/pyridoxamine 5'-phosphate oxidase
NCJPFIPA_00223	gene	1275	tyrS			
